P1_RTT,P1_CWND,P1_inflight,P2_RTT,P2_CWND,P2_inflight
0,46.72,178,0,46.72,25
0,46.72,1375,0,46.72,178
0,46.72,1375,0,46.72,1528
0,46.72,1375,0,46.72,2878
0,46.72,1375,0,46.72,4228
0,46.72,1375,0,46.72,5578
0,46.72,1375,0,46.72,6928
0,46.72,1375,0,46.72,8278
0,46.72,1375,0,46.72,9628
0,46.72,1375,0,46.72,10978
0,46.72,12328,0,46.72,1375
0,46.72,2725,0,46.72,12328
0,46.72,13678,0,46.72,2725
0,46.72,4075,0,46.72,13678
0,46.72,4075,0,46.72,15028
0,46.72,4075,0,46.72,16378
0,46.72,4075,0,46.72,17728
0,46.72,4075,0,46.72,19078
0,46.72,4075,0,46.72,20428
0,46.72,4075,0,46.72,21778
0,46.72,23128,0,46.72,4075
0,46.72,5425,0,46.72,23128
0,46.72,5425,0,46.72,24478
0,46.72,5425,0,46.72,25828
0,46.72,5425,0,46.72,27178
0,46.72,5425,0,46.72,28528
0,46.72,5425,0,46.72,29878
0,46.72,5425,0,46.72,31228
0,46.72,5425,0,46.72,32578
0,46.72,5425,0,46.72,33928
0,46.72,5425,0,46.72,35278
0,46.72,5425,0,46.72,36628
0,46.72,5425,0,46.72,37978
0,46.72,5425,0,46.72,39328
0,46.72,5425,0,46.72,40678
0,46.72,5425,0,46.72,42028
0,46.72,5425,0,46.72,43378
0,46.72,5425,0,46.72,44728
0,46.72,5425,0,46.72,46078
44.683,55.48,54000,75.453,67.16,0
75.453,67.16,0,44.683,55.48,54000
45.681,58.4,51300,75.453,67.16,0
75.453,67.16,0,46.254,61.32,48600
46.327,64.24,45900,75.453,67.16,0
46.297,67.16,43200,75.453,67.16,0
46.609,70.08,40500,75.453,67.16,0
47.059,73,37800,75.453,67.16,0
47.526,73,35100,75.453,67.16,0
47.94,73,32400,75.453,67.16,0
48.325,73,29700,75.453,67.16,0
48.722,73,27000,75.453,67.16,0
49.086,73,24300,75.453,67.16,0
49.532,73,21600,75.453,67.16,0
49.532,73,21600,75.453,67.16,0
49.532,73,21600,75.453,67.16,1350
49.532,73,21600,75.453,67.16,2700
49.532,73,21600,75.453,67.16,4050
49.532,73,21600,75.453,67.16,5400
49.532,73,21600,75.453,67.16,6750
49.532,73,21600,75.453,67.16,8100
49.532,73,21600,75.453,67.16,9450
49.532,73,21600,75.453,67.16,10800
75.453,67.16,12150,49.532,73,21600
49.532,73,22950,75.453,67.16,12150
49.532,73,22950,75.453,67.16,13500
75.453,67.16,14850,49.532,73,22950
49.532,73,24300,75.453,67.16,14850
49.532,73,24300,75.453,67.16,16200
49.532,73,24300,75.453,67.16,17550
49.532,73,24300,75.453,67.16,18900
49.532,73,24300,75.453,67.16,20250
49.532,73,24300,75.453,67.16,21600
49.532,73,24300,75.453,67.16,22950
75.453,67.16,24300,49.532,73,24300
49.532,73,25650,75.453,67.16,24300
49.532,73,25650,75.453,67.16,25650
49.532,73,25650,75.453,67.16,27000
49.532,73,25650,75.453,67.16,28350
49.532,73,25650,75.453,67.16,29700
49.532,73,25650,75.453,67.16,31050
49.532,73,25650,75.453,67.16,32400
75.453,67.16,33750,49.532,73,25650
49.532,73,27000,75.453,67.16,33750
49.532,73,27000,75.453,67.16,35100
49.532,73,27000,75.453,67.16,36450
49.532,73,27000,75.453,67.16,37800
75.453,67.16,39150,49.532,73,27000
49.532,73,28350,75.453,67.16,39150
49.532,73,28350,75.453,67.16,40500
49.532,73,28350,75.453,67.16,41850
49.532,73,28350,75.453,67.16,43200
49.532,73,28350,75.453,67.16,44550
